NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,431.922225916499
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,460.08192931635347
b38a03232f43b11c9d0788abaf060f7366053b6d,574.8792137572723
70b682d9a3636be23f6120fa9d6b164eb3c6002d,5.48747493123021
715494628a50142ce8cb17191cfe6d0f3cae0934,541.8478092633234
e656d6bad65c93fb2880f1eba5037008c8e75774,470.86880876311096
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,537.0406402342694
11539e86171bf07d3a36f09377d7f54ebcc8406a,428.76328041873126
043c544a2104aa8a9849f1a703a08d37a2f16839,485.65978986097286
76ba050e64ad100b856f0eaabd8f539d5c7dd185,466.19092097576674
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,5.48747493123021
db4da599aab5bb08dce27094a35fd3e36cd0abce,5.48747493123021
940aede382ccb332fab15d413217695ec44ca765,470.14246715365744
9ad714b116da76d878dd399d187fccc2dd13dd63,545.5148802682381
dd34464a4d780b12a089347ad580418ac57a3055,514.8920034443554
f837a4cb05a5fd59d20138182f5e8c721eadd584,496.52193500360494
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,5.48747493123021
ca8477c8493b09f34d17bb287f9bacf2dd744c32,5.48747493123021
8b0c675d7fde14953668269d378c588f0df0498b,5.48747493123021
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,398.5064716427333
3d203727f27abd83b71732d88d8cb1cc099f363b,428.97343521529297
d30d31c8ff45094e9a992c63d4a6f68b245a341a,75.10921742393342
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,5.48747493123021
cbc301183dec912f3513ca766bf03dd565f3a38f,509.48233606844445
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,619.9598192347082
11282da1ee78c8db45a041db4c744e33df489df0,450.5184971612764
03c67f683a415c2ea09b582248bd4cb08528c19d,571.4720152455525
046e844fb06a07ba30b41521f0065a8d9c6e5024,396.6305217745736
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,450.279225099357
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,5.48747493123021
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,5.48747493123021
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,409.09489887810753
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,551.1039975185695
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,502.2278492538511
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,529.689857036283
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,481.3330196823083
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,470.7912208862118
59bfa081e020013410d9f60f91813964ba749bb2,431.966738240734
f5e069ee3bc95998464e8ff5da048b7f999921ed,425.6110604077216
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,597.4139826721762
